job_id,job_title,job_description_clean,skills,salary_usd,salary_currency,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,posting_date,application_deadline,job_description_length,benefits_score,company_name
1,admin big data,responsible for managing and overseeing big data infrastructure ensuring data integrity security and availability requires expertise in hadoop spark and data warehousing solutions,"['aws', 'mapreduce', 'data governance', 'etl', 'spark', 'security', 'big data architecture', 'data warehousing', 'cloud computing', 'database', 'data modeling', 'hadoop', 'azure', 'data lakes']",,,,,,,,,,,,,,,,,
2,ansible operations engineer,focuses on automating it processes using ansible responsibilities include writing playbooks managing configurations and ensuring system reliability,"['ansible', 'aws', 'docker', 'automation', 'kubernetes', 'python', 'networking', 'infrastructure as code', 'linux', 'cloud platforms', 'scripting', 'terraform']",,,,,,,,,,,,,,,,,
3,artifactory administrator,manages the artifactory repository for build artifacts responsibilities include configuring repositories managing access permissions and integrating with ci cd pipelines,"['build automation', 'docker', 'version control', 'jfrog cli', 'maven', 'jenkins', 'git', 'cloud computing', 'gradle', 'linux', 'artifactory']",,,,,,,,,,,,,,,,,
4,artificial intelligence / machine learning leader,leads ai ml projects and teams defining strategy and overseeing implementation requires strong leadership skills and knowledge of ai technologies,"['budgeting', 'data science', 'stakeholder management', 'deep learning', 'project management', 'machine learning', 'cloud computing', 'team management', 'ai strategy', 'communication']",,,,,,,,,,,,,,,,,
5,artificial intelligence / machine learning sr.leader,senior role overseeing multiple ai ml initiatives responsible for strategic planning team management and ensuring alignment with business goals,"['budgeting', 'data science', 'stakeholder management', 'mentoring', 'deep learning', 'project management', 'innovation', 'machine learning', 'cloud computing', 'team management', 'ai strategy', 'communication']",,,,,,,,,,,,,,,,,
6,artificial intelligence architect,designs ai systems and architecture responsible for selecting appropriate technologies ensuring scalability and integrating ai solutions into existing systems,"['aws', 'scalability', 'system design', 'data science', 'security', 'deep learning', 'ai architecture', 'cloud computing', 'machine learning', 'model deployment', 'azure']",,,,,,,,,,,,,,,,,
7,artificial intelligence researcher,conducts research in ai to develop new algorithms and models publishes findings in scientific journals and collaborates with academic institutions,"['scientific writing', 'statistical analysis', 'python', 'tensorflow', 'research methods', 'deep learning', 'data analysis', 'pytorch', 'machine learning', 'algorithm design']",,,,,,,,,,,,,,,,,
8,big data architect,designs big data solutions and architecture responsible for data modeling etl processes and ensuring the performance of big data systems,"['aws', 'mapreduce', 'kafka', 'data governance', 'etl', 'spark', 'security', 'data warehousing', 'cloud computing', 'database', 'data modeling', 'hadoop', 'azure', 'data lakes']",,,,,,,,,,,,,,,,,
9,big data engineer,builds and maintains big data pipelines responsible for data ingestion transformation and storage using technologies like hadoop and spark,"['data pipelines', 'kafka', 'etl', 'spark', 'scala', 'python', 'java', 'data warehousing', 'cloud computing', 'database', 'hadoop']",,,,,,,,,,,,,,,,,
10,big data specialist,analyzes large datasets to extract insights requires knowledge of statistical analysis tools and big data technologies,"['statistical analysis', 'etl', 'spark', 'data modeling', 'data analysis', 'cloud computing', 'database', 'data visualization', 'hadoop', 'data mining']",,,,,,,,,,,,,,,,,
11,build and release engineer,manages the build process for software applications responsible for automating builds managing release schedules and ensuring software quality,"['docker', 'build tools', 'maven', 'automation', 'kubernetes', 'jenkins', 'git', 'gradle', 'linux', 'scripting']",,,,,,,,,,,,,,,,,
12,build engineer,focuses on building software applications from source code responsibilities include configuring build environments and troubleshooting build issues,"['ant', 'build automation', 'version control', 'maven', 'jenkins', 'git', 'gradle', 'linux', 'scripting']",,,,,,,,,,,,,,,,,
13,chef operations engineer,utilizes chef for configuration management responsible for writing cookbooks managing infrastructure as code and automating deployment processes,"['aws', 'automation', 'chef', 'infrastructure as code', 'cloud computing', 'linux', 'azure', 'ruby', 'configuration management']",,,,,,,,,,,,,,,,,
14,data analysts,analyzes datasets to provide actionable insights requires proficiency in sql excel and data visualization tools like tableau or power bi,"['data cleansing', 'tableau', 'etl', 'power bi', 'excel', 'python', 'database', 'data modeling', 'statistics', 'data visualization', 'data mining']",,,,,,,,,,,,,,,,,
15,data architect,designs data models and architecture for databases responsible for ensuring data quality integrity and security across systems,"['aws', 'data governance', 'etl', 'data security', 'data warehousing', 'cloud computing', 'database', 'data modeling', 'azure', 'data integration']",,,,,,,,,,,,,,,,,
16,devops architect,designs devops frameworks that enhance collaboration between development operations teams while implementing ci cd practices,"['aws', 'ansible', 'google cloud', 'docker', 'automation', 'kubernetes', 'security', 'networking', 'cloud computing', 'terraform', 'azure']",,,,,,,,,,,,,,,,,
17,devops engineer,implements devops practices by automating software delivery processes using tools like jenkins or gitlab ci,"['aws', 'ansible', 'docker', 'automation', 'kubernetes', 'jenkins', 'networking', 'python', 'git', 'cloud computing', 'linux', 'azure', 'scripting', 'terraform']",,,,,,,,,,,,,,,,,
18,elk engineer,implements elk stack elasticsearch logstash kibana solutions for log management analysis while creating visualizations dashboards,"['elasticsearch', 'aws', 'kibana', 'logstash', 'log management', 'networking', 'security', 'linux', 'data visualization', 'azure']",,,,,,,,,,,,,,,,,
19,gerrit administrator,administers gerrit code review tool responsibilities include managing user access configuring project settings and facilitating code reviews,"['version control', 'automation', 'code review', 'git', 'gerrit', 'linux', 'scripting']",,,,,,,,,,,,,,,,,
20,jenkins engineer,manages jenkins ci cd server to automate software builds deployments responsibilities include configuring jobs plugins and maintaining build pipelines,"['build automation', 'docker', 'version control', 'automation', 'kubernetes', 'jenkins', 'groovy', 'linux', 'scripting']",,,,,,,,,,,,,,,,,
21,jira administrator,manages jira project management tool responsibilities include configuring workflows managing user permissions and supporting teams in agile methodologies,"['agile methodologies', 'jira', 'project management', 'workflow configuration', 'user management', 'atlassian suite']",,,,,,,,,,,,,,,,,
22,kubernetes operations engineer,manages kubernetes clusters for container orchestration responsibilities include deploying applications monitoring cluster health and troubleshooting issues,"['aws', 'docker', 'automation', 'kubernetes', 'security', 'networking', 'cloud computing', 'linux', 'azure']",,,,,,,,,,,,,,,,,
23,machine learning architect,designs machine learning systems architecture responsible for selecting appropriate frameworks designing workflows and ensuring scalability of ml models,"['aws', 'scalability', 'system design', 'data science', 'security', 'deep learning', 'cloud computing', 'machine learning', 'model deployment', 'azure']",,,,,,,,,,,,,,,,,
24,machine learning engineer,builds machine learning models by implementing algorithms data processing techniques while focusing on model evaluation deployment,"['natural language processing', 'computer vision', 'data science', 'python', 'tensorflow', 'data analysis', 'deep learning', 'pytorch', 'machine learning', 'keras', 'algorithms']",,,,,,,,,,,,,,,,,
25,operations engineer,oversees it operations to ensure system reliability responsibilities include monitoring system performance troubleshooting issues and implementing improvements,"['troubleshooting', 'monitoring', 'system administration', 'automation', 'networking', 'windows server', 'cloud computing', 'linux', 'scripting']",,,,,,,,,,,,,,,,,
26,principle engineer in artificial intelligence,leads ai initiatives within an organization responsibilities include strategic planning mentoring teams and driving innovation in ai technologies,"['system design', 'data science', 'python', 'tensorflow', 'mentoring', 'deep learning', 'innovation', 'machine learning', 'cloud computing', 'ai strategy']",,,,,,,,,,,,,,,,,
27,principle engineer in big data,senior role responsible for big data strategy implementation oversees architecture design decisions and ensures compliance with best practices,"['data governance', 'kafka', 'spark', 'big data architecture', 'mentoring', 'data warehousing', 'innovation', 'cloud computing', 'hadoop']",,,,,,,,,,,,,,,,,
28,principle engineer in data analysis,leads data analysis projects to derive insights from complex datasets requires strong analytical skills and experience with statistical methods,"['python', 'mentoring', 'data analysis', 'innovation', 'database', 'data modeling', 'statistics', 'data visualization']",,,,,,,,,,,,,,,,,
29,principle engineer in machine learning,senior role overseeing machine learning projects responsible for guiding teams on best practices in model development and deployment,"['python', 'tensorflow', 'mentoring', 'deep learning', 'innovation', 'cloud computing', 'machine learning', 'model deployment']",,,,,,,,,,,,,,,,,
